strain,phage,interaction
ECOR47,AL505_Ev3,0
ECOR44,AL505_Ev3,0
NILS38,AL505_Ev3,0
NILS51,AL505_Ev3,0
ECOR49,AL505_Ev3,0
ECOR50,AL505_Ev3,0
NILS56,AL505_Ev3,0
ECOR46,AL505_Ev3,0
NILS42,AL505_Ev3,0
NILS52,AL505_Ev3,0
ECOR48,AL505_Ev3,0
NILS23,AL505_Ev3,0
H14,AL505_Ev3,0
ROAR400,AL505_Ev3,0
NILS49,AL505_Ev3,0
NILS24,AL505_Ev3,0
H4,AL505_Ev3,0
H48,AL505_Ev3,0
ECOR34,AL505_Ev3,0
ECOR32,AL505_Ev3,0
ECOR33,AL505_Ev3,0
ECOR30,AL505_Ev3,0
ECOR29,AL505_Ev3,1
ECOR67,AL505_Ev3,0
NILS02,AL505_Ev3,0
ECOR26,AL505_Ev3,1
ECOR27,AL505_Ev3,1
ECOR28,AL505_Ev3,1
ECOR45,AL505_Ev3,1
55989,AL505_Ev3,1
NILS33,AL505_Ev3,1
ECOR69,AL505_Ev3,0
ECOR58,AL505_Ev3,1
ECOR72,AL505_Ev3,0
NILS47,AL505_Ev3,0
ECOR70,AL505_Ev3,0
ECOR71,AL505_Ev3,0
NILS15,AL505_Ev3,0
NILS48,AL505_Ev3,0
NILS34,AL505_Ev3,0
NILS40,AL505_Ev3,0
ECOR11,AL505_Ev3,1
NILS09,AL505_Ev3,1
NILS30,AL505_Ev3,1
NILS32,AL505_Ev3,0
NILS06,AL505_Ev3,0
NILS22,AL505_Ev3,0
NILS16,AL505_Ev3,1
NILS35,AL505_Ev3,0
ECOR10,AL505_Ev3,1
ECOR12,AL505_Ev3,1
ECOR25,AL505_Ev3,1
NILS13,AL505_Ev3,1
NILS10,AL505_Ev3,0
NILS07,AL505_Ev3,1
NILS14,AL505_Ev3,0
ECOR13,AL505_Ev3,1
NILS11,AL505_Ev3,1
ECOR14,AL505_Ev3,1
NILS08,AL505_Ev3,1
ECOR21,AL505_Ev3,0
ECOR20,AL505_Ev3,0
ECOR18,AL505_Ev3,0
ECOR19,AL505_Ev3,1
NILS17,AL505_Ev3,0
NILS12,AL505_Ev3,0
ECOR23,AL505_Ev3,0
NILS41,AL505_Ev3,1
BL21,AL505_Ev3,1
ECOR17,AL505_Ev3,1
NILS03,AL505_Ev3,0
ECOR22,AL505_Ev3,1
ECOR16,AL505_Ev3,1
NILS04,AL505_Ev3,0
ECOR15,AL505_Ev3,0
NILS43,AL505_Ev3,1
NILS37,AL505_Ev3,1
ECOR24,AL505_Ev3,0
ROAR274,AL505_Ev3,0
ECOR42,AL505_Ev3,0
ROAR036,AL505_Ev3,0
NILS05,AL505_Ev3,0
ROAR387,AL505_Ev3,0
B6A1,AL505_Ev3,0
ECOR31,AL505_Ev3,1
LMR3158,AL505_Ev3,0
ROAR131,AL505_Ev3,0
ROAR059,AL505_Ev3,0
EDL933,AL505_Ev3,1
ECOR37,AL505_Ev3,1
ROAR029,AL505_Ev3,1
ROAR012,AL505_Ev3,0
NILS45,AL505_Ev3,0
TW10509,AL505_Ev3,0
NILS31,AL505_Ev3,0
370D,AL505_Ev3,0
M863,AL505_Ev3,0
B49,AL505_Ev3,0
ECOR54,LF73_P4,1
ECOR52,LF73_P4,1
ECOR51,LF73_P4,1
ECOR55,LF73_P4,1
ECOR57,LF73_P4,0
NILS59,LF73_P4,1
NILS71,LF73_P4,1
ECOR56,LF73_P4,1
NILS74,LF73_P4,1
NILS79,LF73_P4,1
NILS72,LF73_P4,0
NILS29,LF73_P4,0
NILS65,LF73_P4,0
536,LF73_P4,1
NILS81,LF73_P4,1
NILS82,LF73_P4,1
NILS78,LF73_P4,0
NILS57,LF73_P4,0
AL505,LF73_P4,1
NILS67,LF73_P4,1
ECOR61,LF73_P4,1
ECOR62,LF73_P4,1
NILS68,LF73_P4,1
NILS21,LF73_P4,1
NILS66,LF73_P4,1
ECOR59,LF73_P4,1
ECOR60,LF73_P4,1
NILS75,LF73_P4,1
NILS70,LF73_P4,1
ECOR53,LF73_P4,1
NILS54,LF73_P4,0
T145,LF73_P4,0
NILS62,LF73_P4,1
MT1B1,LF73_P4,0
NILS61,LF73_P4,0
LF82,LF73_P4,1
NILS26,LF73_P4,0
NILS80,LF73_P4,1
ED1A,LF73_P4,0
NILS20,LF73_P4,0
381A,LF73_P4,0
ECOR65,LF73_P4,0
NILS77,LF73_P4,0
ECOR64,LF73_P4,1
NILS28,LF73_P4,1
NILS58,LF73_P4,0
ECOR63,LF73_P4,1
NILS64,LF73_P4,1
NILS25,LF73_P4,1
NILS55,LF73_P4,1
NILS27,LF73_P4,1
NILS73,LF73_P4,1
NILS19,LF73_P4,1
LM33,LF73_P4,1
NILS44,LF73_P4,1
NILS53,LF73_P4,0
NILS76,LF73_P4,1
NILS63,LF73_P4,1
NILS69,LF73_P4,0
ECOR66,LF73_P4,1
DEC2A,LF73_P4,0
DEC1A,LF73_P4,0
NILS60,LF73_P4,0
ROAR434,LF73_P4,0
921A,LF73_P4,0
916A,LF73_P4,0
ECOR38,LF73_P4,1
ECOR39,LF73_P4,1
ECOR41,LF73_P4,1
ECOR40,LF73_P4,1
IAI39,LF73_P4,1
ECOR35,LF73_P4,0
ECOR36,LF73_P4,1
NILS36,LF73_P4,1
NILS01,LF73_P4,1
NILS39,LF73_P4,1
NILS50,LF73_P4,1
NILS46,LF73_P4,1
NILS18,LF73_P4,1
ECOR47,LF73_P4,1
ECOR44,LF73_P4,1
NILS38,LF73_P4,1
NILS51,LF73_P4,1
ECOR49,LF73_P4,1
ECOR50,LF73_P4,1
NILS56,LF73_P4,0
